Category 1,Category 2,Category 3,Title,Unit,Emission Factor,Uncertainty
Reagent,Chemical,NaCl,"Sodium chloride, powder, NaCl",kg,0.20,
Reagent,Chemical,NaClO,"Sodium hypochlorite, 15% in H2O, NaClO",kg,0.92,
Reagent,Chemical,NaClO3,"Sodium chlorate, powder, NaClO3",kg,3.23,
Reagent,Chemical,NaHCO3,"Bicarbonate of soda, NaHCO3",kg,1.17,0%
Reagent,Chemical,NaHSO3,"Sodium bisulfite, NaHSO3",kg,0.44,0%
Reagent,Chemical,NaOH,"Soda, powder, NaOH",kg,0.46,
Reagent,Chemical,NaOH,"Sodium hydroxide, 50% in H2O, production mix, NaOH",kg,1.12,
Reagent,Chemical,NH3,"Ammonia, liquid, NH3",kg,2.11,
Reagent,Chemical,NH4Cl,"Ammonium chloride, NH4Cl",kg,1.18,
Reagent,Chemical,NH4HCO3,"Ammonium bicarbonate, NH4HCO3",kg,1.20,
Reagent,Chemical,NH4NO3,"Ammonium nitrate (NH4NO3), by ton of nitrogen",kg,4.09,30%
Reagent,Chemical,O2,"Oxygen, liquid",kg,0.41,
Reagent,Chemical,O3,"Ozone, liquid",kg,8.01,
Reagent,Chemical,Organic,Lubricating oil,kg,1.07,
Reagent,Chemical,Organic,Palm oil,kg,2.93,
Reagent,Chemical,Organic,Soya oil,kg,1.70,
Reagent,Chemical,Other,Other chemical,kg,3.00,50%
Reagent,Chemical,Other,Soap,kg,1.75,
Reagent,Chemical,PCl3,"Phosphorous chloride, PCl3",kg,3.39,
Reagent,Chemical,SF6,"Sulphur hexafluoride, liquid, SF6",kg,120.00,
Reagent,Chemical,SO2,"Sulphur dioxide, liquid, SO2",kg,0.44,
Reagent,Chemical,Solvent,White spirit,kg,0.95,
Reagent,Chemical,ZnO,"Zinc oxide, ZnO",kg,2.91,
Reagent,Chemical,ZnS,"Zinc sulphide, ZnS",kg,4.18,
Reagent,Chemical,ZrO2,"Zirconium oxide, ZrO2",kg,4.05,
Reagent,Other,Activated carbon,AC coconut prod.,kg,1.43,
Reagent,Other,Activated carbon,AC coconut reac.,kg,0.65,
Reagent,Other,Activated carbon,AC mineral prod.,kg,5.27,
Reagent,Other,Activated carbon,AC mineral reac.,kg,2.46,
Reagent,Other,Activated carbon,AC mineral renew.,kg,8.38,
Reagent,Other,Activated carbon,AC wood prod.,kg,2.61,
Reagent,Other,Biocide,Biocide,kg,3.73,0%
Reagent,Other,CaCO3,Lime stone,kg,0.01,0%
Reagent,Other,CaO,Lime CaO,kg,0.15,50%
Reagent,Other,Fertilizer,Nitrogen,kg,4.62,30%
Reagent,Other,Fertilizer,Phosphorous,kg,2.70,0%
Reagent,Other,Other,Membrane cleaning,kg,3.99,0%
Reagent,Other,Polymer,Polymer,kg,2.20,0%
Reagent,Other,Resin,Resin prod. & activ. (kg),kg,3.67,
Reagent,Other,Resin,Resin prod. & activ. (m3),m3,"3116.67",
Reagent,Other,Resin,Resin regener. (kg),kg,0.53,
Reagent,Other,Resin,Resin regener. (m3),m3,447.33,
Reagent,Other,Sand,Microsand,kg,0.11,
Reagent,Other,TSP,STP,kg,5.81,0%
Transport,Freight,Air,AF ave. (km),km,2.10,20%
Transport,Freight,Air,AF long (km),km,1.20,20%
Transport,Freight,Air,AF long (t.km),t.km,0.57,
Transport,Freight,Air,AF short (km),km,3.36,20%
Transport,Freight,Air,AF short (t.km),t.km,1.58,
Transport,Freight,Air,Air freight average (km),km,2.22,20%
Transport,Freight,Air,Air freight average (t.km),t.km,1.30,0%
Transport,Freight,Rail,Rail freight,t.km,0.03,
Transport,Freight,Rail,Train EU,t.km,0.02,50%
Transport,Freight,Road,RF bulk large,t.km,0.01,
Transport,Freight,Road,RF bulk small,t.km,0.01,
Transport,Freight,Road,RF roro large,t.km,0.02,
Transport,Freight,Road,RF roro small,t.km,0.06,
Transport,Freight,Road,RF tanker large,t.km,0.00,
Transport,Freight,Road,RF tanker small,t.km,0.04,
Transport,Freight,Road,RF truck 20t 1/2full,t.km,0.82,9%
Transport,Freight,Road,RF truck 20t 1/4full,t.km,1.52,9%
Transport,Freight,Road,RF truck 20t 3/4full,t.km,0.59,9%
Transport,Freight,Road,RF truck 20t full,t.km,0.47,9%
Transport,Freight,Road,RF truck 35t 1/2full,t.km,0.44,11%
Transport,Freight,Road,RF truck 35t 1/4full,t.km,0.81,11%
Transport,Freight,Road,RF truck 35t 3/4full,t.km,0.31,11%
Transport,Freight,Road,RF truck 35t full,t.km,0.25,11%
Transport,Freight,Road,Road freight average (km),km,1.11,11%
Transport,Freight,Road,Road freight average (t.km),t.km,0.70,11%
Transport,Freight,Water,SF transoceanic,t.km,0.01,
Transport,Freight,Water,Ship freight,t.km,0.01,20%
Transport,Trip,Air,Air trip average,km,0.49,20%
Transport,Trip,Air,AT long,km,0.19,20%
Transport,Trip,Air,AT long 1st,km,0.78,20%
Transport,Trip,Air,AT long 2nd,km,0.16,20%
Transport,Trip,Air,AT long bus.,km,0.81,20%
Transport,Trip,Air,AT short,km,0.24,20%
Transport,Trip,Air,AT short 2nd,km,0.19,20%
Transport,Trip,Air,AT short bus.,km,0.80,20%
Transport,Trip,Rail,Train trip,km,0.06,
Transport,Trip,Road,Road trip,km,0.21,
Transport,Trip,Road,Road trip average,km,0.19,20%
Transport,Trip,Road,RT diesel large,km,0.26,
Transport,Trip,Road,RT diesel medium,km,0.19,
Transport,Trip,Road,RT diesel small,km,0.15,
Transport,Trip,Road,RT hybrid large,km,0.22,
Transport,Trip,Road,RT hybrid medium,km,0.13,
Transport,Trip,Road,RT petrol large,km,0.30,
Transport,Trip,Road,RT petrol medium,km,0.22,
Transport,Trip,Road,RT petrol small,km,0.18,
